study_name,study_value,method,runs,mean_best_raw_objective,std_best_raw_objective,mean_best_valid_energy,mean_feasible_hit_rate,mean_approx_gap,mean_elapsed_seconds,mean_effective_shots,mean_estimated_billed_seconds,mean_estimated_qpu_cost_usd,win_rate,ci95_best_raw_objective_low,ci95_best_raw_objective_high,ci95_feasible_hit_rate_low,ci95_feasible_hit_rate_high,ci95_win_rate_low,ci95_win_rate_high,p_value_vs_random_best_valid
invalid_penalty,100.0,bayesian_optimization,3,-0.314623447101658,0.09159457202046033,-0.36146509283537304,1.0,0.013842968604617454,0.6191661390015119,3840.0,24.01191500066731,0.0,0.0,-0.44399909608527305,-0.24438544036344825,1.0,1.0,0.0,0.0,1.0
invalid_penalty,100.0,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00014001433495044088,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
invalid_penalty,100.0,random,3,-0.3018460230484064,0.08374913464011853,-0.36146509283537304,1.0,0.010243158524823662,0.019564889002746593,3840.0,24.01110726432671,0.0,0.0,-0.42018150675951743,-0.23838744204460874,1.0,1.0,0.0,0.0,1.0
invalid_penalty,100.0,spsa,3,-0.3100982721684069,0.08394913572188387,-0.36146509283537304,1.0,0.002661291644166252,0.01929002766943692,3840.0,24.01087220833627,0.0,0.0,-0.4279952014401689,-0.23904932680266314,1.0,1.0,0.0,0.0,1.0
invalid_penalty,20.0,bayesian_optimization,3,-0.314623447101658,0.09159457202046033,-0.36146509283537304,1.0,0.013842968604617454,0.5723139719993924,3840.0,24.011821028007642,0.0,0.0,-0.44399909608527305,-0.24438544036344825,1.0,1.0,0.0,0.0,1.0
invalid_penalty,20.0,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00013538899899382764,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
invalid_penalty,20.0,random,3,-0.3018460230484064,0.08374913464011853,-0.36146509283537304,1.0,0.010243158524823662,0.01917352766516463,3840.0,24.01085356965632,0.0,0.0,-0.42018150675951743,-0.23838744204460874,1.0,1.0,0.0,0.0,1.0
invalid_penalty,20.0,spsa,3,-0.3100982721684069,0.08394913572188387,-0.36146509283537304,1.0,0.002661291644166252,0.01923545833657651,3840.0,24.01078958299816,0.0,0.0,-0.4279952014401689,-0.23904932680266314,1.0,1.0,0.0,0.0,1.0
invalid_penalty,50.0,bayesian_optimization,3,-0.314623447101658,0.09159457202046033,-0.36146509283537304,1.0,0.013842968604617454,0.5609855553339003,3840.0,24.011963041659328,0.0,0.0,-0.44399909608527305,-0.24438544036344825,1.0,1.0,0.0,0.0,1.0
invalid_penalty,50.0,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.0001326386676131127,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
invalid_penalty,50.0,random,3,-0.3018460230484064,0.08374913464011853,-0.36146509283537304,1.0,0.010243158524823662,0.019514041998869896,3840.0,24.010986139335728,0.0,0.0,-0.42018150675951743,-0.23838744204460874,1.0,1.0,0.0,0.0,1.0
invalid_penalty,50.0,spsa,3,-0.3100982721684069,0.08394913572188387,-0.36146509283537304,1.0,0.002661291644166252,0.019519208333804272,3840.0,24.010958375668753,0.0,0.0,-0.4279952014401689,-0.23904932680266314,1.0,1.0,0.0,0.0,1.0
regime,baseline,bayesian_optimization,3,-0.314623447101658,0.09159457202046033,-0.36146509283537304,1.0,0.013842968604617454,0.6628999306679665,3840.0,24.012051499989564,0.0,0.0,-0.44399909608527305,-0.24438544036344825,1.0,1.0,0.0,0.0,1.0
regime,baseline,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00013543066840308407,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
regime,baseline,random,3,-0.3018460230484064,0.08374913464011853,-0.36146509283537304,1.0,0.010243158524823662,0.019137055331763502,3840.0,24.01077084800636,0.0,0.0,-0.42018150675951743,-0.23838744204460874,1.0,1.0,0.0,0.0,1.0
regime,baseline,spsa,3,-0.3100982721684069,0.08394913572188387,-0.36146509283537304,1.0,0.002661291644166252,0.019474097333538037,3840.0,24.011032597998565,0.0,0.0,-0.4279952014401689,-0.23904932680266314,1.0,1.0,0.0,0.0,1.0
