study_name,study_value,seed,regime,n_assets,budget,execution_mode,execution_billing_mode,noise_model,depolarizing_strength_1q,depolarizing_strength_2q,measurement_error,transpile_topology,mixer_type,p_layers,evaluation_budget,n_init_points,shots,cvar_alpha,invalid_penalty,method,best_raw_objective,best_valid_energy,feasible_hit_rate,mean_objective_variance,mean_approx_gap,best_approx_ratio,mean_approx_ratio,best_valid_regret_auc,best_valid_energy_per_shot,best_valid_energy_per_usd,mean_shot_noise_variance_proxy,mean_excess_variance,best_valid_sharpe_ratio,mean_best_valid_sharpe_ratio,mean_budget_violation,violation_counts,mean_zne_correction_magnitude,shots_to_first_feasible,elapsed_seconds,total_objective_calls,effective_shots,estimated_billed_seconds,estimated_qpu_cost_usd,win_share,exact_reference_available,constraint_hardness,penalty_doublings,best_params
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,product_x,2,6,3,128,0.1,50.0,random,-0.4735453683584358,-0.5198301787415209,1.0,190.03189599708642,0.03651048975664332,1.0,1.0894110635700798,0.0,-0.000676862211903022,nan,1.4846241874772377,188.5472718096092,2.0365805043983296,1.8068809950373173,1.6393229166666667,"{""0"": 96, ""1"": 245, ""2"": 321, ""3"": 52, ""4"": 54}",0.0,128.0,0.0032836670288816094,6,768.0,12.001898209040519,0.0,0.0,True,0.234375,0,"[2.619816689582517, 1.8561909556720675, 5.805994911027577, 1.395505534619388]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,product_x,2,6,3,128,0.1,50.0,spsa,-0.4970543784971369,-0.5198301787415209,1.0,33.993558384190365,0.008277409856609666,1.0,1.0176053027932768,0.0,-0.000676862211903022,nan,0.2655746748764872,33.727983709313875,2.0365805043983296,2.0099042858107405,1.5703125,"{""0"": 155, ""1"": 256, ""2"": 179, ""3"": 120, ""4"": 58}",0.0,128.0,0.0032757919980213046,6,768.0,12.001838500029407,0.0,0.0,True,0.234375,0,"[2.836373209873983, 1.343806060433932, 1.2639184990905865, 0.11705664761972667]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.001,0.01,auto,product_x,2,6,3,128,0.1,50.0,bayesian_optimization,-0.39757958968662854,-0.5198301787415209,1.0,168.41182540880496,0.0275819468142189,1.0,1.0620347529572403,0.0,-0.000676862211903022,nan,1.3157173860062887,167.0961080227987,2.0365805043983296,1.8634761119138836,1.8736979166666667,"{""0"": 74, ""1"": 246, ""2"": 224, ""3"": 151, ""4"": 73}",0.0,128.0,0.28326533298240975,6,768.0,12.002202333998866,0.0,0.0,True,0.234375,0,"[4.301382415191508, 1.19213964944725, 5.127370914276506, 0.9188249527016425]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,product_x,2,6,3,128,0.1,50.0,classical_markowitz,-0.49398316399409165,-0.49398316399409165,1.0,0.0,0.0,1.0,1.0,0.0,nan,nan,0.0,0.0,1.393163809437971,1.393163809437971,0.0,"{""0"": 1}",0.0,0.0,4.1665975004434586e-05,1,0.0,0.0,0.0,1.0,True,0.234375,0,"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,product_x,2,6,3,128,0.1,50.0,random,-0.45810514482339093,-0.49398316399409165,1.0,0.0008608469348503114,0.02384600990761021,1.0,1.0534315103910126,0.07153802972283063,-0.0006432072447839735,nan,6.725366678518058e-06,0.0008541215681717933,1.393163809437971,1.5066298280069639,1.3763020833333333,"{""0"": 171, ""1"": 305, ""2"": 163, ""3"": 90, ""4"": 39}",0.0,128.0,0.0037657920038327575,6,768.0,12.002046124951448,0.0,0.0,True,0.234375,0,"[4.195966224299624, 2.0671305138117, 4.215760665456154, 2.115537640006941]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,product_x,2,6,3,128,0.1,50.0,spsa,-0.4303376604546425,-0.49398316399409165,1.0,41.21843554858983,0.02524750222136986,1.0,1.0569741527966354,0.02384600990761021,-0.0006432072447839735,nan,0.32201902772335805,40.896416520866474,1.393163809437971,1.4623598250693386,1.7096354166666667,"{""0"": 108, ""1"": 238, ""2"": 234, ""3"": 145, ""4"": 43}",0.0,128.0,0.003394707979168743,6,768.0,12.001847415056545,0.0,0.0,True,0.234375,0,"[5.145698665316703, 0.31445571840096515, 1.3943279523931353, 1.1727450880199453]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,1,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,product_x,2,6,3,128,0.1,50.0,bayesian_optimization,-0.4556028834639686,-0.49398316399409165,1.0,0.0011224858288355437,0.0,1.0,1.0,0.0,-0.0006432072447839735,nan,8.769420537777685e-06,0.0011137164082977659,1.393163809437971,1.393163809437971,1.2369791666666667,"{""0"": 200, ""1"": 302, ""2"": 170, ""3"": 76, ""4"": 20}",0.0,128.0,0.2528326250030659,6,768.0,12.002262791851535,0.0,0.0,True,0.234375,0,"[3.912536842008076, 2.767837150070354, 5.117815775681078, 1.8388127617292926]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,product_x,2,6,3,128,0.1,50.0,classical_markowitz,-0.5198301787415209,-0.5198301787415209,1.0,0.0,0.0,1.0,1.0,0.0,nan,nan,0.0,0.0,2.0365805043983296,2.0365805043983296,0.0,"{""0"": 1}",0.0,0.0,4.312500823289156e-05,1,0.0,0.0,0.0,1.0,True,0.234375,0,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,product_x,2,6,3,128,0.1,50.0,random,-0.484552855518384,-0.5198301787415209,1.0,0.0017342935502829004,0.0,1.0,1.0,0.0,-0.000676862211903022,nan,1.354916836158516e-05,0.0017207443819213153,2.0365805043983296,2.0365805043983296,1.3372395833333333,"{""0"": 157, ""1"": 320, ""2"": 190, ""3"": 77, ""4"": 24}",0.0,128.0,0.0035050000296905637,6,768.0,12.001903417927679,0.0,0.0,True,0.234375,0,"[0.09251774073745578, 1.205740576700473, 4.13913207256195, 2.3592983817699484]"
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,2,baseline,6,4,fast_simulator,job,depolarizing,0.0005,0.02,0.01,auto,product_x,2,6,3,128,0.1,50.0,spsa,-0.48470184208247585,-0.5198301787415209,1.0,34.05918646727506,0.0032198618692161896,1.0,1.0064331489633573,0.009659585607648569,-0.000676862211903022,nan,0.2660873942755864,33.793099072999475,2.0365805043983296,1.9922493935384864,1.4609375,"{""0"": 145, ""1"": 291, ""2"": 199, ""3"": 99, ""4"": 34}",0.0,128.0,0.0034091249690391123,6,768.0,12.001854167960119,0.0,0.0,True,0.234375,0,"[2.723258830787655, 1.2704431422328937, 1.3770328781769148, 0.04369372941868832]"
