study_name,study_value,method,runs,mean_best_raw_objective,std_best_raw_objective,mean_best_valid_energy,mean_feasible_hit_rate,mean_approx_gap,mean_best_approx_ratio,mean_best_valid_regret_auc,mean_best_valid_energy_per_shot,mean_best_valid_energy_per_usd,mean_best_valid_sharpe_ratio,mean_shot_noise_variance_proxy,mean_excess_variance,mean_budget_violation,aggregate_violation_counts,mean_zne_correction_magnitude,mean_shots_to_first_feasible,mean_elapsed_seconds,mean_effective_shots,mean_estimated_billed_seconds,mean_estimated_qpu_cost_usd,mean_penalty_doublings,mean_constraint_hardness,win_rate,ci95_best_raw_objective_low,ci95_best_raw_objective_high,ci95_feasible_hit_rate_low,ci95_feasible_hit_rate_high,ci95_win_rate_low,ci95_win_rate_high,ci95_elapsed_seconds_low,ci95_elapsed_seconds_high,ci95_estimated_billed_seconds_low,ci95_estimated_billed_seconds_high,ci95_estimated_qpu_cost_usd_low,ci95_estimated_qpu_cost_usd_high,ci95_shots_to_first_feasible_low,ci95_shots_to_first_feasible_high,p_value_best_valid_vs_classical_markowitz,p_value_best_valid_vs_classical_markowitz_bonferroni,p_value_best_valid_vs_random,p_value_best_valid_vs_random_bonferroni,p_value_best_valid_vs_spsa,p_value_best_valid_vs_spsa_bonferroni,p_value_best_valid_vs_bayesian_optimization,p_value_best_valid_vs_bayesian_optimization_bonferroni,p_value_vs_random_best_valid,p_value_vs_random_best_valid_bonferroni
factorial,regime=baseline | n_assets=12 | mixer_type=product_x | depolarizing_strength_2q=0.001,bayesian_optimization,2,-0.3367077442663666,0.029991689636487212,-0.4452992001367588,1.0,0.09632093441239223,1.093722029845204,0.23429481619946513,-0.000579816666844738,nan,1.522969951588713,0.4521705720061617,57.42566264478254,2.751953125,"{""0"": 190, ""1"": 273, ""2"": 287, ""3"": 303, ""4"": 198, ""5"": 129, ""6"": 83, ""7"": 48, ""8"": 25}",0.0,128.0,0.2982809375098441,768.0,12.007248749519931,0.0,0.0,0.120849609375,0.0,-0.3666994339028538,-0.3067160546298794,1.0,1.0,0.0,0.0,0.2223896670038812,0.374172208015807,12.007244208070915,12.007253290968947,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,bayesian_optimization,2,-0.42781056617589847,0.030230976489269923,-0.5069066713678063,1.0,0.01776530839171115,1.0,0.0,-0.0006600347283434978,nan,1.7148721569181502,0.7662838847492783,97.31805336315836,1.7213541666666667,"{""0"": 203, ""1"": 526, ""2"": 410, ""3"": 290, ""4"": 107}",0.0,128.0,0.27634427047451027,768.0,12.002172354550567,0.0,0.0,0.234375,0.0,-0.4580415426651684,-0.39757958968662854,1.0,1.0,0.0,0.0,0.2694232079666108,0.28326533298240975,12.002142375102267,12.002202333998866,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,classical_markowitz,2,-0.5069066713678063,0.012923507373714643,-0.5069066713678063,1.0,0.0,1.0,0.0,nan,nan,1.7148721569181502,0.0,0.0,0.0,"{""0"": 2}",0.0,0.0,4.3521024053916335e-05,0.0,0.0,0.0,0.0,0.234375,1.0,-0.5198301787415209,-0.49398316399409165,1.0,1.0,1.0,1.0,4.291703226044774e-05,4.412501584738493e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,random,2,-0.45021822509185755,0.023327143266578254,-0.5069066713678063,1.0,0.02222957986292336,1.0,0.0,-0.0006600347283434978,nan,1.7148721569181502,1.2274887138498787,155.89106665893462,1.7037760416666667,"{""0"": 188, ""1"": 544, ""2"": 515, ""3"": 113, ""4"": 176}",0.0,128.0,0.003289937536465004,768.0,12.001905104028992,0.0,0.0,0.234375,0.0,-0.4735453683584358,-0.4268910818252793,1.0,1.0,0.0,0.0,0.0032836670288816094,0.0032962080440483987,12.001898209040519,12.001911999017466,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.001,spsa,2,-0.4697565181329556,0.027297860364181276,-0.5069066713678063,1.0,0.028752199204509526,1.0,0.06612761539762872,-0.0006600347283434978,nan,1.7148721569181502,0.7779106289532933,98.79464987706822,1.7662760416666665,"{""0"": 267, ""1"": 418, ""2"": 424, ""3"": 261, ""4"": 166}",0.0,128.0,0.003146375500364229,768.0,12.001816729054553,0.0,0.0,0.234375,0.0,-0.4970543784971369,-0.44245865776877435,1.0,1.0,0.0,0.0,0.0030169590027071536,0.0032757919980213046,12.0017949580797,12.001838500029407,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,bayesian_optimization,2,-0.4616756061376407,0.006072722673672065,-0.5069066713678063,1.0,0.005748635862912928,1.0,0.014489378411472853,-0.0006600347283434978,nan,1.7148721569181502,1.6359489212273797e-05,0.0020776551299587723,1.3404947916666667,"{""0"": 337, ""1"": 606, ""2"": 374, ""3"": 171, ""4"": 48}",0.0,128.0,0.2468419375072699,768.0,12.002229811885627,0.0,0.0,0.234375,0.0,-0.46774832881131273,-0.4556028834639686,1.0,1.0,0.0,0.0,0.2408512500114739,0.2528326250030659,12.002196831919719,12.002262791851535,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,classical_markowitz,2,-0.5069066713678063,0.012923507373714643,-0.5069066713678063,1.0,0.0,1.0,0.0,nan,nan,1.7148721569181502,0.0,0.0,0.0,"{""0"": 2}",0.0,0.0,4.239549161866307e-05,0.0,0.0,0.0,0.0,0.234375,1.0,-0.5198301787415209,-0.49398316399409165,1.0,1.0,1.0,1.0,4.1665975004434586e-05,4.312500823289156e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,random,2,-0.47132900017088747,0.013223855347496538,-0.5069066713678063,1.0,0.011923004953805105,1.0,0.035769014861415316,-0.0006600347283434978,nan,1.7148721569181502,1.0137267520051609e-05,0.0012874329750465542,1.3567708333333333,"{""0"": 328, ""1"": 625, ""2"": 353, ""3"": 167, ""4"": 63}",0.0,128.0,0.0036353960167616606,768.0,12.001974771439563,0.0,0.0,0.234375,0.0,-0.484552855518384,-0.45810514482339093,1.0,1.0,0.0,0.0,0.0035050000296905637,0.0037657920038327575,12.001903417927679,12.002046124951448,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=6 | mixer_type=product_x | depolarizing_strength_2q=0.02,spsa,2,-0.45751975126855915,0.027182090813916676,-0.5069066713678063,1.0,0.014233682045293026,1.0,0.01675279775762939,-0.0006600347283434978,nan,1.7148721569181502,0.29405321099947224,37.344757796932974,1.5852864583333335,"{""0"": 253, ""1"": 529, ""2"": 433, ""3"": 244, ""4"": 77}",0.0,128.0,0.0034019164741039276,768.0,12.001850791508332,0.0,0.0,0.234375,0.0,-0.48470184208247585,-0.4303376604546425,1.0,1.0,0.0,0.0,0.003394707979168743,0.0034091249690391123,12.001847415056545,12.001854167960119,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=6 | mixer_type=xy | depolarizing_strength_2q=0.001,bayesian_optimization,2,-0.5069066713678063,0.012923507373714616,-0.5069066713678063,1.0,0.009558600903811498,1.0,0.011923004953805105,-0.0006600347283434978,nan,1.7148721569181502,1.7525046859286212e-06,0.00022256807394626822,0.15755208333333331,"{""0"": 1300, ""1"": 230, ""2"": 6}",0.0,128.0,0.40078633348457515,768.0,12.002152479544748,0.0,0.0,0.234375,0.29166666666666663,-0.5198301787415209,-0.4939831639940917,1.0,1.0,0.25,0.3333333333333333,0.25907695799833164,0.5424957089708187,12.002123667043634,12.002181292045861,0.0,0.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
factorial,regime=baseline | n_assets=6 | mixer_type=xy | depolarizing_strength_2q=0.001,classical_markowitz,2,-0.5069066713678063,0.012923507373714643,-0.5069066713678063,1.0,0.0,1.0,0.0,nan,nan,1.7148721569181502,0.0,0.0,0.0,"{""0"": 2}",0.0,0.0,4.6353990910574794e-05,0.0,0.0,0.0,0.0,0.234375,0.125,-0.5198301787415209,-0.49398316399409165,1.0,1.0,0.0,0.25,4.579097731038928e-05,4.691700451076031e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
